district,soil_type,pH,N_mg_per_kg,P_mg_per_kg,K_mg_per_kg,organic_carbon_pct,zinc_mg_per_kg,iron_mg_per_kg,copper_mg_per_kg,manganese_mg_per_kg,boron_mg_per_kg
BUDAUN,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BULANDSHAHR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
CHANDAULI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
CHITRAKOOT,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
DEORIA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
ETAH,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
ETAWAH,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
FAIZABAD,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
FARRUKHABAD,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
FATEHPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
FIROZABAD,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
GAUTAM BUDDHA NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
GHAZIABAD,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
GHAZIPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
GONDA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
GORAKHPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
HAMIRPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
HAPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
HARDOI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
HATHRAS,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
JALAUN,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
JAUNPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
JHANSI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KANNAUJ,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KANPUR DEHAT,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KANPUR NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KASGANJ,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KAUSHAMBI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KHERI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
KUSHI NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
LALITPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
LUCKNOW,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MAHARAJGANJ,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MAHOBA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MAINPURI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MATHURA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MAU,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MEERUT,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MIRZAPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MORADABAD,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
MUZAFFARNAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
PILIBHIT,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
PRATAPGARH,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
RAE BARELI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
RAMPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SAHARANPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SAMBHAL,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SANT KABEER NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SANT RAVIDAS NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SHAHJAHANPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SHAMLI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SHRAVASTI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SIDDHARTH NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SITAPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SONBHADRA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
SULTANPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
UNNAO,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
VARANASI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
NICOBARS,Laterite,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
NORTH AND MIDDLE ANDAMAN,Laterite,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SOUTH ANDAMANS,Laterite,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DADRA AND NAGAR HAVELI,Black,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KARAIKAL,Red,7.0,150.0,35.0,180.0,4.45,1.5,15.0,1.2,8.0,0.5
MAHE,Red,7.0,150.0,35.0,180.0,4.45,1.5,15.0,1.2,8.0,0.5
PONDICHERRY,Red,7.0,150.0,35.0,180.0,4.45,1.5,15.0,1.2,8.0,0.5
YANAM,Red,7.0,150.0,35.0,180.0,4.45,1.5,15.0,1.2,8.0,0.5
DIMAPUR,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
KIPHIRE,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
KOHIMA,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
LONGLENG,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
MOKOKCHUNG,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
MON,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
PEREN,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
PHEK,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
TUENSANG,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
WOKHA,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
ZUNHEBOTO,Mountain,7.0,150.0,35.0,180.0,3.52,1.5,15.0,1.2,8.0,0.5
CHANDIGARH,Alluvial,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
ANUGUL,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BALANGIR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BALESHWAR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BARGARH,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BHADRAK,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BOUDH,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
CUTTACK,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DEOGARH,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DHENKANAL,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
GAJAPATI,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
GANJAM,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
JAGATSINGHAPUR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
JAJAPUR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
JHARSUGUDA,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KALAHANDI,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KANDHAMAL,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KENDRAPARA,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KENDUJHAR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KHORDHA,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KORAPUT,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
MALKANGIRI,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
MAYURBHANJ,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
NABARANGPUR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
NAYAGARH,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
NUAPADA,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
PURI,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
RAYAGADA,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SAMBALPUR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SONEPUR,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SUNDARGARH,Red,6.5,21500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
